#  
#  1.0 Msun, Z = 0.001 
#  species  A   yield		mass(i)_lost	mass(i)_0	<X(i)>		X0(i)		log10(<X(i)>/X0(i)) 
In	49	1.9169218e-10	2.1811139e-10	2.6419207e-11	2.5550669e-10	3.0948792e-11	9.1675857e-01
Sn	50	7.5979968e-09	8.1006635e-09	5.0266688e-10	9.4895262e-09	5.8884935e-10	1.2072403e+00
Sb	51	2.2845154e-10	2.5799889e-10	2.9547346e-11	3.0223292e-10	3.4613253e-11	9.4109935e-01
Te	52	3.1079223e-09	3.3772414e-09	2.6931906e-10	3.9562709e-09	3.1549394e-10	1.0982950e+00
I	53	1.9417224e-10	3.8213074e-10	1.8795851e-10	4.4764723e-10	2.2018408e-10	3.0814999e-01
Xe	54	4.1397434e-09	5.0109118e-09	8.7116855e-10	5.8700351e-09	1.0205308e-09	7.5981459e-01
Cs	55	2.6820452e-10	3.3490222e-10	6.6697698e-11	3.9232136e-10	7.8133050e-11	7.0080718e-01
Ba	56	3.0859063e-08	3.1724936e-08	8.6587254e-10	3.7164191e-08	1.0143268e-09	1.5639468e+00
La	57	3.1353934e-09	3.2210711e-09	8.5677753e-11	3.7733253e-09	1.0036724e-10	1.5751323e+00
Ce	58	1.0432569e-08	1.0653967e-08	2.2139808e-10	1.2480595e-08	2.5935688e-10	1.6823375e+00
Pr	59	9.5384187e-10	9.8768570e-10	3.3843832e-11	1.1570249e-09	3.9646373e-11	1.4651392e+00
Nd	60	6.2959319e-09	6.4557442e-09	1.5981234e-10	7.5625845e-09	1.8721224e-10	1.6063360e+00
Sm	62	1.0584224e-09	1.0987448e-09	4.0322488e-11	1.2871252e-09	4.7235798e-11	1.4353495e+00
Eu	63	8.3507747e-11	1.0402944e-10	2.0521693e-11	1.2186534e-10	2.4040147e-11	7.0494307e-01
Gd	64	7.3987411e-10	7.9713597e-10	5.7261847e-11	9.3380530e-10	6.7079419e-11	1.1436670e+00
Tb	65	7.8471991e-11	9.2328126e-11	1.3856135e-11	1.0815783e-10	1.6231776e-11	8.2369192e-01
Dy	66	1.0908952e-09	1.1822366e-09	9.1341401e-11	1.3849316e-09	1.0700193e-10	1.1120367e+00
Ho	67	9.9136304e-11	1.1944796e-10	2.0311652e-11	1.3992736e-10	2.3794094e-11	7.6943347e-01
Er	68	7.5894869e-10	8.1601313e-10	5.7064434e-11	9.5591896e-10	6.6848158e-11	1.1553316e+00
Tm	69	8.6881958e-11	9.6174776e-11	9.2928183e-12	1.1266399e-10	1.0886076e-11	1.0149138e+00
Yb	70	1.7032289e-09	1.7552885e-09	5.2059640e-11	2.0562336e-09	6.0985289e-11	1.5278474e+00
Lu	71	1.9394123e-10	2.0292308e-10	8.9818521e-12	2.3771434e-10	1.0521795e-11	1.3539656e+00
Hf	72	1.5949525e-09	1.6330863e-09	3.8133817e-11	1.9130797e-09	4.4671879e-11	1.6316988e+00
