#Chemical Yields (solar masses)
#Z=0.04 
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22      NA23     MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.702      0.30     1e-8      6.92e-3  9.96e-5   2.02e-3   1.87e-2   7.20e-06  3.90e-05  1.00e-06  4.20e-03  2.71e-04  8.32e-05  1.60e-03      -         -        -      1.44e-04  1.76e-03  
  3.00 -2.01D-02  1.45D-02 -1.81D-08  2.88D-03  4.19D-04  1.10D-03  1.15D-03  4.98D-06 -1.86D-06  2.97D-08  1.87D-05  1.24D-05  3.25D-06 -5.03D-07  9.18D-06  2.90D-06  5.38D-09  4.63D-06  1.33D-06  0.83
  2.50 -6.29D-02  3.49D-02 -1.79D-08  2.24D-02  3.75D-07  8.97D-05  4.79D-03  8.63D-06 -6.98D-07  1.74D-08  3.99D-05  4.52D-04  7.30D-06 -1.20D-06  1.04D-04  3.95D-05  9.70D-10  4.22D-05  1.93D-06  0.71
  2.00 -7.04D-02  4.83D-02 -1.33D-08  1.96D-02  1.80D-06  9.93D-05  1.70D-03  8.53D-06 -5.88D-07  6.14D-07  1.79D-06  6.18D-04  8.37D-06  0.00D+00  1.39D-05  1.08D-05  7.51D-10  2.56D-06  0.00D+00  0.64
  1.75 -3.65D-02  2.16D-02 -1.12D-08  1.20D-02  1.98D-06  4.44D-05  2.59D-03  6.15D-07 -9.71D-08  8.47D-08  6.95D-06  2.03D-04  1.79D-06  0.00D+00  1.17D-05  7.17D-06  5.48D-10  3.55D-06  0.00D+00  0.63
  1.50 -3.05D-02  1.97D-02 -9.07D-09  9.66D-03  1.72D-06  2.80D-05  1.01D-03  2.28D-07 -4.92D-08  2.44D-07  0.00D+00  1.14D-04  1.08D-06  0.00D+00  1.75D-06  1.38D-06  4.41D-10  6.08D-07  0.00D+00  0.60
  1.25 -1.58D-02  1.19D-02 -6.69D-09  3.61D-03  1.27D-06  2.07D-05  2.27D-04  3.01D-07 -3.12D-08  1.40D-07  0.00D+00  3.16D-05  5.16D-07  0.00D+00  8.43D-08  1.09D-07  4.41D-10  1.56D-07  0.00D+00  0.58
  1.00 -7.81D-03  6.50D-03 -4.36D-09  1.24D-03  7.76D-07  6.91D-06  5.64D-05  1.67D-07 -1.51D-08  3.22D-08  0.00D+00  5.93D-06  2.03D-07  0.00D+00 -5.22D-09  4.85D-09  3.40D-10  5.21D-08  0.00D+00  0.57
  
#Z=0.0003
#M/Msun    H        Elio     Litio      C12       C13       N14       O16       O17       O18       F19       NE20      NE22     NA23      MG24       MG25      MG26     AL26       AL27      SI28     Mf
         0.7497     0.25      1e-8    2.54e-5      -      7.47e-6   1.74e-4   6.06e-8   3.39e-7    3.6e-9   3.84e-4   2.03e-6   3.09e-7   1.49e-5   1.05e-6   1.21e-3      -      5.34e-7   1.64e-5
  7.50 -6.75D-01  6.74D-01 -1.79D-08 -6.89D-05  2.10D-05  1.68D-03 -5.92D-04  6.68D-06 -1.78D-06 -1.38D-08  1.15D-05 -1.16D-05  9.74D-06 -8.01D-05  6.94D-05 -3.81D-06  7.93D-06  1.01D-05  1.25D-05  1.34
